2005,miscellaneous,motorist,1.0,42.43216,-123.08566
2005,lightning,lightning,1.5,44.567,-119.42116
2005,equipment use,timber harvest worker,0.1,42.50333,-120.7015
2005,recreation,rancher-farmer,0.01,42.767,-124.49766
2005,lightning,lightning,0.02,44.465,-117.82833
2005,recreation,recreationist,0.01,44.13333,-122.56666
2005,recreation,recreationist,0.01,45.1525,-118.662
2005,lightning,lightning,0.02,44.566,-119.97666
2005,debris burning,ruralist-paying,0.15,45.31666,-123.9
2005,debris burning,other forest mgt. worker,130.0,44.80666,-123.84166
2005,equipment use,recreationist,0.01,43.97083,-123.80933
2005,railroad,public utility,2.0,45.6805,-121.29383
2005,miscellaneous,other-public,0.01,42.42916,-124.418
2005,arson,recreationist,0.01,45.11983,-122.54083
2005,equipment use,ruralist-non-paying,0.01,43.74666,-123.06366
2005,lightning,lightning,0.01,44.39633,-120.27833
2005,recreation,recreationist,0.01,45.55,-123.93333
2005,miscellaneous,other-landowner related,0.01,46.13666,-123.94133
2005,recreation,recreationist,0.25,44.38333,-123.55
2005,miscellaneous,other-landowner related,0.4,45.46083,-122.2865
2005,debris burning,other forest mgt. worker,1.0,44.66833,-123.90833
2005,equipment use,other-public,0.01,42.53783,-123.19216
2005,recreation,recreationist,0.01,44.49016,-122.45966
2005,lightning,lightning,0.25,44.54983,-119.4165
2005,equipment use,ruralist-paying,0.01,44.07983,-123.40133
2005,miscellaneous,recreationist,0.01,43.3525,-124.21183
2005,debris burning,ruralist-non-paying,0.4,45.63866,-121.49516
2005,equipment use,ruralist-paying,0.33,43.76833,-122.985
2005,lightning,lightning,0.5,44.68266,-119.65483
2005,lightning,lightning,0.25,44.41316,-120.77616
2005,debris burning,other forest mgt. worker,2.0,44.41666,-123.66666
2005,arson,other-public,9.0,42.227,-122.74333
2005,arson,other-public,2225.0,42.2995,-121.7545
2005,juveniles,ruralist-paying,0.01,44.04883,-123.46016
2005,recreation,recreationist,0.01,43.66466,-124.20333
2005,recreation,other-landowner related,0.1,45.92933,-122.9005
2005,debris burning,other forest mgt. worker,0.03,45.05566,-122.47316
2005,miscellaneous,other-public,0.25,44.0905,-123.01766
2005,miscellaneous,ruralist-paying,0.02,45.72883,-118.27316
2005,lightning,lightning,0.25,44.22033,-120.43166
2005,lightning,lightning,0.1,44.73866,-119.61266
2005,lightning,lightning,0.01,46.15266,-123.70466
2005,equipment use,timber harvest worker,0.0,43.20966,-123.50266
2005,equipment use,motorist,1510.0,42.40266,-122.53366
2005,lightning,lightning,0.25,44.58,-118.08333
2005,arson,recreationist,0.5,44.23433,-123.47066
2005,debris burning,other-landowner related,0.5,45.21266,-122.55116
2005,debris burning,other-landowner related,0.01,46.15033,-123.11283
2005,equipment use,motorist,2.0,42.86883,-122.6895
2005,equipment use,motorist,0.05,42.93616,-124.45166
2005,lightning,lightning,0.1,44.38683,-120.7825
2005,lightning,lightning,0.01,45.94066,-123.5745
2005,equipment use,other forest mgt. worker,0.01,42.29366,-122.77633
2005,lightning,lightning,2.0,42.03033,-122.22183
2005,miscellaneous,other-public,0.1,46.12,-123.202
2005,smoking,motorist,13.7,44.673,-118.718
2005,lightning,lightning,4.3,44.59916,-119.98433
2005,recreation,hunter,129.0,44.5545,-120.8365
2005,debris burning,other forest mgt. worker,0.01,43.32566,-124.1015
2005,equipment use,ruralist-paying,5.0,42.30333,-123.25016
2005,lightning,lightning,0.01,42.27116,-121.75533
2005,arson,other-public,0.01,42.61616,-122.8635
2005,miscellaneous,other-landowner related,0.01,45.2235,-121.26833
2005,miscellaneous,other-public,0.1,44.075,-123.41733
2005,equipment use,other-public,207.0,44.9545,-119.34566
2005,miscellaneous,other-landowner related,0.11,43.21566,-124.07516
2005,recreation,recreationist,0.01,45.53833,-123.89166
2005,debris burning,other-public,0.01,46.175,-123.658
2005,equipment use,ruralist-paying,0.01,42.02666,-122.59616
2005,equipment use,other forest mgt. worker,17.0,45.66166,-123.04766
2005,lightning,lightning,0.01,44.60783,-117.62383
2005,equipment use,motorist,11.83,45.68733,-121.32933
2005,debris burning,other-landowner related,0.01,46.10016,-123.021
2005,debris burning,ruralist-paying,0.01,45.508,-118.425
2005,equipment use,motorist,0.1,43.80716,-123.06316
2005,recreation,recreationist,0.1,42.11783,-124.35416
2005,equipment use,timber harvest worker,3.6,45.20766,-119.37216
2005,equipment use,public utility,0.01,46.0765,-123.70566
2005,smoking,ruralist-paying,0.01,42.62916,-121.86266
2005,arson,other-public,1.0,42.67666,-122.9635
2005,smoking,other-public,0.01,45.38566,-122.2345
2005,equipment use,motorist,0.1,45.67966,-121.85233
2005,debris burning,ruralist-paying,0.01,44.90266,-119.09166
2005,miscellaneous,other-landowner related,0.1,44.07683,-124.07766
2005,smoking,other-public,139.0,43.77833,-121.554
2005,juveniles,other-public,0.01,43.29516,-124.19183
2005,recreation,hunter,0.01,45.65233,-123.84316
2005,equipment use,ruralist-non-paying,0.01,44.33333,-123.38333
2005,debris burning,ruralist-paying,0.25,43.30383,-123.25516
2005,lightning,lightning,42700.0,45.68716,-116.74883
2005,railroad,public utility,0.1,45.67733,-121.2855
2005,equipment use,motorist,0.01,43.98683,-118.92616
2005,equipment use,motorist,0.01,43.6515,-123.90583
2005,lightning,lightning,0.1,42.77483,-120.9375
2005,debris burning,other-landowner related,2.0,44.378,-120.66866
2005,lightning,lightning,0.01,43.34116,-123.6575
2005,arson,other-public,18.0,42.50666,-123.05566
2005,lightning,lightning,0.01,44.525,-117.76833
2005,miscellaneous,ruralist-non-paying,0.01,45.24166,-121.29183
2005,smoking,other-landowner related,0.01,43.99266,-121.34116
2005,debris burning,ruralist-paying,0.1,42.123,-124.34083
2005,debris burning,other-landowner related,0.25,45.27916,-123.73616
